- Starting heuristic -
---- Iteration:       0 INFEAS
TSP  Iteration:      97  36678
---- Iteration:     500  36678
TSP  Iteration:     606  35228
TSP  Iteration:     609  35169
TSP  Iteration:     636  35132
TSP  Iteration:     976  34840
---- Iteration:    1000  34840
TSP  Iteration:    1017  34683
---- Iteration:    1500  34683
---- Iteration:    2000  34683
---- Iteration:    2500  34683
---- Iteration:    3000  34683
---- Iteration:    3500  34683
---- Iteration:    4000  34683
---- Iteration:    4500  34683
---- Iteration:       0  34683
---- Iteration:     500  34683
TSP  Iteration:     567  33349
TSP  Iteration:     761  33346
TSP  Iteration:     812  31943
TSP  Iteration:     940  31540
TSP  Iteration:     955  31421
TSP  Iteration:     971  31189
---- Iteration:    1000  31189
TSP  Iteration:    1020  30911
---- Iteration:    1500  30911
---- Iteration:    2000  30911
---- Iteration:    2500  30911
---- Iteration:    3000  30911
---- Iteration:    3500  30911
TSP  Iteration:    3516  30864
---- Iteration:    4000  30864
---- Iteration:    4500  30864
Feasible solution found

