- Starting heuristic -
TSP  Iteration:       0   1010
---- Iteration:       0   1010
TSP  Iteration:       1    996
TSP  Iteration:      10    964
TSP  Iteration:      66    908
---- Iteration:     500    908
---- Iteration:    1000    908
---- Iteration:    1500    908
---- Iteration:    2000    908
---- Iteration:    2500    908
---- Iteration:    3000    908
---- Iteration:    3500    908
---- Iteration:    4000    908
---- Iteration:    4500    908
---- Iteration:       0    908
---- Iteration:     500    908
---- Iteration:    1000    908
---- Iteration:    1500    908
---- Iteration:    2000    908
---- Iteration:    2500    908
---- Iteration:    3000    908
---- Iteration:    3500    908
---- Iteration:    4000    908
---- Iteration:    4500    908
Feasible solution found

