- Starting heuristic -
TSP  Iteration:       0   2162
---- Iteration:       0   2162
TSP  Iteration:       1   2154
TSP  Iteration:       9   2149
TSP  Iteration:      10   2124
TSP  Iteration:      13   2103
TSP  Iteration:      15   2095
TSP  Iteration:      66   2094
---- Iteration:     500   2094
---- Iteration:    1000   2094
---- Iteration:    1500   2094
---- Iteration:    2000   2094
---- Iteration:    2500   2094
---- Iteration:    3000   2094
---- Iteration:    3500   2094
---- Iteration:    4000   2094
TSP  Iteration:    4248   2068
---- Iteration:    4500   2068
---- Iteration:       0   2068
---- Iteration:     500   2068
---- Iteration:    1000   2068
---- Iteration:    1500   2068
---- Iteration:    2000   2068
---- Iteration:    2500   2068
---- Iteration:    3000   2068
---- Iteration:    3500   2068
---- Iteration:    4000   2068
---- Iteration:    4500   2068
Feasible solution found

