- Starting heuristic -
TSP  Iteration:       0   1289
---- Iteration:       0   1289
TSP  Iteration:       1   1287
TSP  Iteration:       9   1284
TSP  Iteration:      10   1269
TSP  Iteration:      13   1256
TSP  Iteration:      15   1244
---- Iteration:     500   1244
---- Iteration:    1000   1244
---- Iteration:    1500   1244
---- Iteration:    2000   1244
---- Iteration:    2500   1244
---- Iteration:    3000   1244
---- Iteration:    3500   1244
---- Iteration:    4000   1244
TSP  Iteration:    4248   1233
---- Iteration:    4500   1233
---- Iteration:       0   1233
---- Iteration:     500   1233
---- Iteration:    1000   1233
---- Iteration:    1500   1233
---- Iteration:    2000   1233
---- Iteration:    2500   1233
---- Iteration:    3000   1233
---- Iteration:    3500   1233
---- Iteration:    4000   1233
---- Iteration:    4500   1233
Feasible solution found

