- Starting heuristic -
---- Iteration:       0 INFEAS
TSP  Iteration:       1   1716
TSP  Iteration:      10   1661
---- Iteration:     500   1661
---- Iteration:    1000   1661
---- Iteration:    1500   1661
---- Iteration:    2000   1661
---- Iteration:    2500   1661
---- Iteration:    3000   1661
---- Iteration:    3500   1661
---- Iteration:    4000   1661
---- Iteration:    4500   1661
---- Iteration:       0   1661
TSP  Iteration:       1   1639
TSP  Iteration:       2   1614
TSP  Iteration:       4   1613
TSP  Iteration:       5   1555
---- Iteration:     500   1555
---- Iteration:    1000   1555
---- Iteration:    1500   1555
---- Iteration:    2000   1555
---- Iteration:    2500   1555
---- Iteration:    3000   1555
---- Iteration:    3500   1555
---- Iteration:    4000   1555
---- Iteration:    4500   1555
Feasible solution found

