- Starting heuristic -
TSP  Iteration:       0   1744
---- Iteration:       0   1744
TSP  Iteration:       1   1716
TSP  Iteration:      10   1661
TSP  Iteration:      15   1568
TSP  Iteration:      66   1561
---- Iteration:     500   1561
---- Iteration:    1000   1561
---- Iteration:    1500   1561
---- Iteration:    2000   1561
---- Iteration:    2500   1561
---- Iteration:    3000   1561
---- Iteration:    3500   1561
---- Iteration:    4000   1561
---- Iteration:    4500   1561
---- Iteration:       0   1561
TSP  Iteration:       5   1555
---- Iteration:     500   1555
---- Iteration:    1000   1555
---- Iteration:    1500   1555
---- Iteration:    2000   1555
---- Iteration:    2500   1555
---- Iteration:    3000   1555
---- Iteration:    3500   1555
---- Iteration:    4000   1555
---- Iteration:    4500   1555
Feasible solution found

