- Starting heuristic -
TSP  Iteration:       0   1900
---- Iteration:       0   1900
TSP  Iteration:       1   1893
TSP  Iteration:      10   1856
---- Iteration:     500   1856
---- Iteration:    1000   1856
---- Iteration:    1500   1856
---- Iteration:    2000   1856
---- Iteration:    2500   1856
---- Iteration:    3000   1856
---- Iteration:    3500   1856
---- Iteration:    4000   1856
TSP  Iteration:    4248   1821
---- Iteration:    4500   1821
---- Iteration:       0   1821
TSP  Iteration:     242   1792
---- Iteration:     500   1792
---- Iteration:    1000   1792
---- Iteration:    1500   1792
---- Iteration:    2000   1792
---- Iteration:    2500   1792
---- Iteration:    3000   1792
---- Iteration:    3500   1792
---- Iteration:    4000   1792
---- Iteration:    4500   1792
Feasible solution found

