- Starting heuristic -
TSP  Iteration:       0 289981
---- Iteration:       0 289981
TSP  Iteration:       1 286223
TSP  Iteration:       6 277538
TSP  Iteration:     356 276288
TSP  Iteration:     360 274522
TSP  Iteration:     384 272491
---- Iteration:     500 272491
---- Iteration:    1000 272491
---- Iteration:    1500 272491
---- Iteration:    2000 272491
---- Iteration:    2500 272491
---- Iteration:    3000 272491
---- Iteration:    3500 272491
---- Iteration:    4000 272491
---- Iteration:    4500 272491
---- Iteration:       0 272491
TSP  Iteration:     206 272049
TSP  Iteration:     217 269994
---- Iteration:     500 269994
---- Iteration:    1000 269994
---- Iteration:    1500 269994
---- Iteration:    2000 269994
---- Iteration:    2500 269994
---- Iteration:    3000 269994
---- Iteration:    3500 269994
---- Iteration:    4000 269994
---- Iteration:    4500 269994
Feasible solution found

