- Starting heuristic -
---- Iteration:       0 INFEAS
TSP  Iteration:       6 427992
TSP  Iteration:     104 427452
TSP  Iteration:     232 427237
TSP  Iteration:     356 415535
TSP  Iteration:     360 414910
---- Iteration:     500 414910
---- Iteration:    1000 414910
---- Iteration:    1500 414910
---- Iteration:    2000 414910
---- Iteration:    2500 414910
---- Iteration:    3000 414910
---- Iteration:    3500 414910
---- Iteration:    4000 414910
---- Iteration:    4500 414910
---- Iteration:       0 414910
---- Iteration:     500 414910
---- Iteration:    1000 414910
---- Iteration:    1500 414910
---- Iteration:    2000 414910
---- Iteration:    2500 414910
---- Iteration:    3000 414910
---- Iteration:    3500 414910
---- Iteration:    4000 414910
---- Iteration:    4500 414910
Feasible solution found

