- Starting heuristic -
TSP  Iteration:       0 290491
---- Iteration:       0 290491
TSP  Iteration:       1 289898
TSP  Iteration:       6 281143
TSP  Iteration:     104 280707
TSP  Iteration:     356 274904
TSP  Iteration:     360 274138
---- Iteration:     500 274138
---- Iteration:    1000 274138
---- Iteration:    1500 274138
---- Iteration:    2000 274138
---- Iteration:    2500 274138
---- Iteration:    3000 274138
---- Iteration:    3500 274138
---- Iteration:    4000 274138
---- Iteration:    4500 274138
---- Iteration:       0 274138
---- Iteration:     500 274138
---- Iteration:    1000 274138
---- Iteration:    1500 274138
---- Iteration:    2000 274138
---- Iteration:    2500 274138
---- Iteration:    3000 274138
---- Iteration:    3500 274138
---- Iteration:    4000 274138
---- Iteration:    4500 274138
Feasible solution found

