- Starting heuristic -
TSP  Iteration:       0 330924
---- Iteration:       0 330924
TSP  Iteration:       1 330426
TSP  Iteration:       6 315537
TSP  Iteration:      27 314598
TSP  Iteration:      45 314296
TSP  Iteration:     356 313564
TSP  Iteration:     360 311951
TSP  Iteration:     362 311329
TSP  Iteration:     384 311092
---- Iteration:     500 311092
---- Iteration:    1000 311092
---- Iteration:    1500 311092
---- Iteration:    2000 311092
---- Iteration:    2500 311092
---- Iteration:    3000 311092
---- Iteration:    3500 311092
---- Iteration:    4000 311092
---- Iteration:    4500 311092
---- Iteration:       0 311092
---- Iteration:     500 311092
---- Iteration:    1000 311092
---- Iteration:    1500 311092
---- Iteration:    2000 311092
---- Iteration:    2500 311092
---- Iteration:    3000 311092
---- Iteration:    3500 311092
---- Iteration:    4000 311092
---- Iteration:    4500 311092
Feasible solution found

