- Starting heuristic -
---- Iteration:       0 INFEAS
TSP  Iteration:     232 485042
TSP  Iteration:     356 479021
TSP  Iteration:     362 470648
TSP  Iteration:     384 470426
---- Iteration:     500 470426
---- Iteration:    1000 470426
---- Iteration:    1500 470426
---- Iteration:    2000 470426
---- Iteration:    2500 470426
---- Iteration:    3000 470426
---- Iteration:    3500 470426
---- Iteration:    4000 470426
---- Iteration:    4500 470426
---- Iteration:       0 470426
---- Iteration:     500 470426
---- Iteration:    1000 470426
---- Iteration:    1500 470426
---- Iteration:    2000 470426
---- Iteration:    2500 470426
---- Iteration:    3000 470426
---- Iteration:    3500 470426
---- Iteration:    4000 470426
---- Iteration:    4500 470426
Feasible solution found

