- Starting heuristic -
---- Iteration:       0 INFEAS
TSP  Iteration:       6 427992
---- Iteration:     500 427992
---- Iteration:    1000 427992
---- Iteration:    1500 427992
---- Iteration:    2000 427992
---- Iteration:    2500 427992
---- Iteration:    3000 427992
---- Iteration:    3500 427992
---- Iteration:    4000 427992
---- Iteration:    4500 427992
---- Iteration:       0 427992
---- Iteration:     500 427992
---- Iteration:    1000 427992
---- Iteration:    1500 427992
---- Iteration:    2000 427992
---- Iteration:    2500 427992
---- Iteration:    3000 427992
---- Iteration:    3500 427992
---- Iteration:    4000 427992
---- Iteration:    4500 427992
Feasible solution found

