- Starting heuristic -
TSP  Iteration:       0  14402
---- Iteration:       0  14402
---- Iteration:     500  14402
---- Iteration:    1000  14402
---- Iteration:    1500  14402
---- Iteration:    2000  14402
---- Iteration:    2500  14402
---- Iteration:    3000  14402
---- Iteration:    3500  14402
---- Iteration:    4000  14402
---- Iteration:    4500  14402
---- Iteration:       0  14402
---- Iteration:     500  14402
---- Iteration:    1000  14402
---- Iteration:    1500  14402
---- Iteration:    2000  14402
---- Iteration:    2500  14402
---- Iteration:    3000  14402
---- Iteration:    3500  14402
---- Iteration:    4000  14402
---- Iteration:    4500  14402
Feasible solution found

