- Starting heuristic -
TSP  Iteration:       0   8661
---- Iteration:       0   8661
---- Iteration:     500   8661
---- Iteration:    1000   8661
---- Iteration:    1500   8661
---- Iteration:    2000   8661
---- Iteration:    2500   8661
---- Iteration:    3000   8661
---- Iteration:    3500   8661
---- Iteration:    4000   8661
---- Iteration:    4500   8661
---- Iteration:       0   8661
---- Iteration:     500   8661
---- Iteration:    1000   8661
---- Iteration:    1500   8661
---- Iteration:    2000   8661
---- Iteration:    2500   8661
---- Iteration:    3000   8661
---- Iteration:    3500   8661
---- Iteration:    4000   8661
---- Iteration:    4500   8661
Feasible solution found

