- Starting heuristic -
TSP  Iteration:       0   9554
---- Iteration:       0   9554
---- Iteration:     500   9554
---- Iteration:    1000   9554
---- Iteration:    1500   9554
---- Iteration:    2000   9554
---- Iteration:    2500   9554
---- Iteration:    3000   9554
---- Iteration:    3500   9554
---- Iteration:    4000   9554
---- Iteration:    4500   9554
---- Iteration:       0   9554
---- Iteration:     500   9554
---- Iteration:    1000   9554
---- Iteration:    1500   9554
---- Iteration:    2000   9554
---- Iteration:    2500   9554
---- Iteration:    3000   9554
---- Iteration:    3500   9554
---- Iteration:    4000   9554
---- Iteration:    4500   9554
Feasible solution found

