- Starting heuristic -
TSP  Iteration:       0  16048
---- Iteration:       0  16048
---- Iteration:     500  16048
---- Iteration:    1000  16048
---- Iteration:    1500  16048
---- Iteration:    2000  16048
---- Iteration:    2500  16048
---- Iteration:    3000  16048
---- Iteration:    3500  16048
---- Iteration:    4000  16048
---- Iteration:    4500  16048
---- Iteration:       0  16048
---- Iteration:     500  16048
---- Iteration:    1000  16048
---- Iteration:    1500  16048
---- Iteration:    2000  16048
---- Iteration:    2500  16048
---- Iteration:    3000  16048
---- Iteration:    3500  16048
---- Iteration:    4000  16048
---- Iteration:    4500  16048
Feasible solution found

