- Starting heuristic -
TSP  Iteration:       0  29169
---- Iteration:       0  29169
---- Iteration:     500  29169
---- Iteration:    1000  29169
---- Iteration:    1500  29169
---- Iteration:    2000  29169
---- Iteration:    2500  29169
---- Iteration:    3000  29169
---- Iteration:    3500  29169
---- Iteration:    4000  29169
---- Iteration:    4500  29169
---- Iteration:       0  29169
---- Iteration:     500  29169
---- Iteration:    1000  29169
---- Iteration:    1500  29169
---- Iteration:    2000  29169
---- Iteration:    2500  29169
---- Iteration:    3000  29169
---- Iteration:    3500  29169
---- Iteration:    4000  29169
---- Iteration:    4500  29169
Feasible solution found

