- Starting heuristic -
TSP  Iteration:       0  17373
---- Iteration:       0  17373
---- Iteration:     500  17373
---- Iteration:    1000  17373
---- Iteration:    1500  17373
---- Iteration:    2000  17373
---- Iteration:    2500  17373
---- Iteration:    3000  17373
---- Iteration:    3500  17373
---- Iteration:    4000  17373
---- Iteration:    4500  17373
---- Iteration:       0  17373
---- Iteration:     500  17373
---- Iteration:    1000  17373
---- Iteration:    1500  17373
---- Iteration:    2000  17373
---- Iteration:    2500  17373
---- Iteration:    3000  17373
---- Iteration:    3500  17373
---- Iteration:    4000  17373
---- Iteration:    4500  17373
Feasible solution found

