- Starting heuristic -
TSP  Iteration:       0  33637
---- Iteration:       0  33637
TSP  Iteration:       4  33557
---- Iteration:     500  33557
---- Iteration:    1000  33557
---- Iteration:    1500  33557
---- Iteration:    2000  33557
---- Iteration:    2500  33557
---- Iteration:    3000  33557
---- Iteration:    3500  33557
---- Iteration:    4000  33557
---- Iteration:    4500  33557
---- Iteration:       0  33557
---- Iteration:     500  33557
---- Iteration:    1000  33557
---- Iteration:    1500  33557
---- Iteration:    2000  33557
---- Iteration:    2500  33557
---- Iteration:    3000  33557
---- Iteration:    3500  33557
---- Iteration:    4000  33557
---- Iteration:    4500  33557
Feasible solution found

