- Starting heuristic -
TSP  Iteration:       0  20303
---- Iteration:       0  20303
TSP  Iteration:       1  20257
---- Iteration:     500  20257
---- Iteration:    1000  20257
---- Iteration:    1500  20257
---- Iteration:    2000  20257
---- Iteration:    2500  20257
---- Iteration:    3000  20257
---- Iteration:    3500  20257
---- Iteration:    4000  20257
---- Iteration:    4500  20257
---- Iteration:       0  20257
---- Iteration:     500  20257
---- Iteration:    1000  20257
---- Iteration:    1500  20257
---- Iteration:    2000  20257
---- Iteration:    2500  20257
---- Iteration:    3000  20257
---- Iteration:    3500  20257
---- Iteration:    4000  20257
---- Iteration:    4500  20257
Feasible solution found

