- Starting heuristic -
TSP  Iteration:       0  19900
---- Iteration:       0  19900
TSP  Iteration:       1  19853
---- Iteration:     500  19853
---- Iteration:    1000  19853
---- Iteration:    1500  19853
---- Iteration:    2000  19853
---- Iteration:    2500  19853
---- Iteration:    3000  19853
---- Iteration:    3500  19853
---- Iteration:    4000  19853
---- Iteration:    4500  19853
---- Iteration:       0  19853
---- Iteration:     500  19853
---- Iteration:    1000  19853
---- Iteration:    1500  19853
---- Iteration:    2000  19853
---- Iteration:    2500  19853
---- Iteration:    3000  19853
---- Iteration:    3500  19853
---- Iteration:    4000  19853
---- Iteration:    4500  19853
Feasible solution found

