- Starting heuristic -
TSP  Iteration:       0 163603
---- Iteration:       0 163603
TSP  Iteration:       1 161335
TSP  Iteration:       7 160388
TSP  Iteration:      19 154016
TSP  Iteration:      34 152706
TSP  Iteration:      57 152145
TSP  Iteration:      71 151309
TSP  Iteration:      82 148885
TSP  Iteration:      86 148670
TSP  Iteration:     215 148665
TSP  Iteration:     475 148003
---- Iteration:     500 148003
---- Iteration:       0 148003
---- Iteration:     500 148003
Feasible solution found

