- Starting heuristic -
---- Iteration:       0 INFEAS
TSP  Iteration:       4   4123
TSP  Iteration:      18   4087
---- Iteration:     500   4087
---- Iteration:    1000   4087
TSP  Iteration:    1381   3889
---- Iteration:    1500   3889
TSP  Iteration:    1501   3765
TSP  Iteration:    1513   3761
TSP  Iteration:    1815   3759
---- Iteration:    2000   3759
---- Iteration:    2500   3759
---- Iteration:    3000   3759
---- Iteration:    3500   3759
---- Iteration:    4000   3759
---- Iteration:    4500   3759
---- Iteration:       0   3759
TSP  Iteration:      52   3733
TSP  Iteration:     144   3665
---- Iteration:     500   3665
---- Iteration:    1000   3665
---- Iteration:    1500   3665
---- Iteration:    2000   3665
---- Iteration:    2500   3665
---- Iteration:    3000   3665
---- Iteration:    3500   3665
---- Iteration:    4000   3665
---- Iteration:    4500   3665
Feasible solution found

