- Starting heuristic -
TSP  Iteration:       0  10704
---- Iteration:       0  10704
TSP  Iteration:      32  10692
TSP  Iteration:      81  10521
TSP  Iteration:     159  10454
TSP  Iteration:     212  10422
TSP  Iteration:     215  10268
TSP  Iteration:     221  10256
---- Iteration:     500  10256
TSP  Iteration:     582  10252
TSP  Iteration:     850  10249
TSP  Iteration:     876  10095
---- Iteration:    1000  10095
---- Iteration:    1500  10095
TSP  Iteration:    1628  10024
---- Iteration:    2000  10024
---- Iteration:    2500  10024
---- Iteration:    3000  10024
---- Iteration:    3500  10024
---- Iteration:    4000  10024
---- Iteration:    4500  10024
---- Iteration:       0  10024
---- Iteration:     500  10024
---- Iteration:    1000  10024
---- Iteration:    1500  10024
---- Iteration:    2000  10024
---- Iteration:    2500  10024
---- Iteration:    3000  10024
---- Iteration:    3500  10024
---- Iteration:    4000  10024
---- Iteration:    4500  10024
Feasible solution found

