- Starting heuristic -
TSP  Iteration:       0  11748
---- Iteration:       0  11748
TSP  Iteration:      23  11578
TSP  Iteration:      32  11574
TSP  Iteration:      81  11405
TSP  Iteration:     212  11331
TSP  Iteration:     215  11108
TSP  Iteration:     221  11052
---- Iteration:     500  11052
TSP  Iteration:     582  11045
TSP  Iteration:     876  10916
---- Iteration:    1000  10916
TSP  Iteration:    1435  10870
---- Iteration:    1500  10870
TSP  Iteration:    1628  10678
---- Iteration:    2000  10678
---- Iteration:    2500  10678
---- Iteration:    3000  10678
---- Iteration:    3500  10678
---- Iteration:    4000  10678
---- Iteration:    4500  10678
---- Iteration:       0  10678
---- Iteration:     500  10678
---- Iteration:    1000  10678
---- Iteration:    1500  10678
---- Iteration:    2000  10678
---- Iteration:    2500  10678
---- Iteration:    3000  10678
---- Iteration:    3500  10678
---- Iteration:    4000  10678
---- Iteration:    4500  10678
Feasible solution found

