- Starting heuristic -
---- Iteration:       0 INFEAS
TSP  Iteration:       2   3995
TSP  Iteration:      11   3847
TSP  Iteration:      67   3653
TSP  Iteration:     267   3630
TSP  Iteration:     378   3549
---- Iteration:     500   3549
---- Iteration:    1000   3549
---- Iteration:    1500   3549
---- Iteration:    2000   3549
---- Iteration:    2500   3549
---- Iteration:    3000   3549
---- Iteration:    3500   3549
---- Iteration:    4000   3549
---- Iteration:    4500   3549
---- Iteration:       0   3549
---- Iteration:     500   3549
---- Iteration:    1000   3549
---- Iteration:    1500   3549
---- Iteration:    2000   3549
---- Iteration:    2500   3549
---- Iteration:    3000   3549
---- Iteration:    3500   3549
---- Iteration:    4000   3549
---- Iteration:    4500   3549
Feasible solution found

