- Starting heuristic -
TSP  Iteration:       0   1948
---- Iteration:       0   1948
TSP  Iteration:      14   1759
TSP  Iteration:      58   1752
TSP  Iteration:      77   1750
---- Iteration:     500   1750
---- Iteration:    1000   1750
---- Iteration:    1500   1750
---- Iteration:    2000   1750
---- Iteration:    2500   1750
---- Iteration:    3000   1750
---- Iteration:    3500   1750
---- Iteration:    4000   1750
---- Iteration:    4500   1750
---- Iteration:       0   1750
TSP  Iteration:      11   1744
---- Iteration:     500   1744
---- Iteration:    1000   1744
---- Iteration:    1500   1744
---- Iteration:    2000   1744
---- Iteration:    2500   1744
---- Iteration:    3000   1744
---- Iteration:    3500   1744
---- Iteration:    4000   1744
---- Iteration:    4500   1744
Feasible solution found

