- Starting heuristic -
TSP  Iteration:       0   2929
---- Iteration:       0   2929
TSP  Iteration:       1   2740
TSP  Iteration:      10   2730
TSP  Iteration:      11   2655
TSP  Iteration:      14   2614
TSP  Iteration:      16   2609
TSP  Iteration:      56   2587
TSP  Iteration:      58   2550
TSP  Iteration:      77   2549
---- Iteration:     500   2549
---- Iteration:    1000   2549
---- Iteration:    1500   2549
---- Iteration:    2000   2549
---- Iteration:    2500   2549
---- Iteration:    3000   2549
---- Iteration:    3500   2549
---- Iteration:    4000   2549
---- Iteration:    4500   2549
---- Iteration:       0   2549
TSP  Iteration:      65   2543
---- Iteration:     500   2543
---- Iteration:    1000   2543
---- Iteration:    1500   2543
---- Iteration:    2000   2543
---- Iteration:    2500   2543
---- Iteration:    3000   2543
---- Iteration:    3500   2543
---- Iteration:    4000   2543
---- Iteration:    4500   2543
Feasible solution found

