- Starting heuristic -
TSP  Iteration:       0   2929
---- Iteration:       0   2929
TSP  Iteration:       1   2740
TSP  Iteration:      10   2730
TSP  Iteration:      11   2655
TSP  Iteration:      16   2609
---- Iteration:     500   2609
---- Iteration:    1000   2609
---- Iteration:    1500   2609
---- Iteration:    2000   2609
---- Iteration:    2500   2609
---- Iteration:    3000   2609
---- Iteration:    3500   2609
---- Iteration:    4000   2609
---- Iteration:    4500   2609
---- Iteration:       0   2609
---- Iteration:     500   2609
---- Iteration:    1000   2609
---- Iteration:    1500   2609
---- Iteration:    2000   2609
---- Iteration:    2500   2609
---- Iteration:    3000   2609
---- Iteration:    3500   2609
---- Iteration:    4000   2609
---- Iteration:    4500   2609
Feasible solution found

