- Starting heuristic -
TSP  Iteration:       0   3216
---- Iteration:       0   3216
TSP  Iteration:       1   3072
TSP  Iteration:      14   2957
TSP  Iteration:      19   2935
TSP  Iteration:      56   2917
TSP  Iteration:      58   2888
TSP  Iteration:      77   2872
---- Iteration:     500   2872
---- Iteration:    1000   2872
---- Iteration:    1500   2872
---- Iteration:    2000   2872
---- Iteration:    2500   2872
---- Iteration:    3000   2872
---- Iteration:    3500   2872
---- Iteration:    4000   2872
---- Iteration:    4500   2872
---- Iteration:       0   2872
TSP  Iteration:      64   2871
---- Iteration:     500   2871
---- Iteration:    1000   2871
---- Iteration:    1500   2871
---- Iteration:    2000   2871
---- Iteration:    2500   2871
---- Iteration:    3000   2871
---- Iteration:    3500   2871
---- Iteration:    4000   2871
---- Iteration:    4500   2871
Feasible solution found

