- Starting heuristic -
TSP  Iteration:       0    117
---- Iteration:       0    117
---- Iteration:     500    117
---- Iteration:    1000    117
---- Iteration:    1500    117
---- Iteration:    2000    117
---- Iteration:    2500    117
---- Iteration:    3000    117
---- Iteration:    3500    117
---- Iteration:    4000    117
---- Iteration:    4500    117
---- Iteration:       0    117
---- Iteration:     500    117
---- Iteration:    1000    117
---- Iteration:    1500    117
---- Iteration:    2000    117
---- Iteration:    2500    117
---- Iteration:    3000    117
---- Iteration:    3500    117
---- Iteration:    4000    117
---- Iteration:    4500    117
Feasible solution found

